innovation,news,network neutral,net neutral,pay prioritization,throttle traffic,open internet,block traffic,tech company,support net neutral,practice net neutral,support network neutral,practice network neutral,be net neutral,be network neutral,net neutral violation,network neutral violation,violate net neutrality,violate network neutrality,against net neutrality,against network neutrality,URL,NN
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://library.educause.edu/topics/policy-and-law/net-neutrality,
0,2,0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.telecomtv.com/content/net-neutrality/will-2020-see-a-state-by-state-return-to-net-neutrality-in-the-us-37275/,
0,0,0,33,5,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.ncsl.org/research/telecommunications-and-information-technology/net-neutrality-2019-legislation.aspx,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.digitalrealty.com/blog/inventors-in-the-data-center-a-nysernet-feature-pt-1-of-2,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.internet2.edu/products-services/advanced-networking/global-services/,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://docs.fcc.gov/public/attachments/FCC-10-201A1_Rcd.pdf,
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.arl.org/resources/in-the-matter-of-preserving-the-open-internet-broadband-industry-practices/,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.thequilt.net/public-event/2020-winter-member-meeting-agenda/,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.telecomramblings.com/2018/04/thursday-bytes-telia-adva-vonage-128-technology-zayo/,
