sentence,category,sentiment,predicted AS,search term
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
In connection with certain business combinations,,,,zayo
the Company acquired assets that supported products outside of the Company’s primary focus of providing bandwidth infrastructure and NetNeutral colocation services.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
In connection with certain business combinations,,,,zayo
the Company acquired assets that supported products outside of the Company’s primary focus of providing bandwidth infrastructure and NetNeutral colocation services.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
In connection with certain business combinations,,,,zayo
the Company acquired assets that supported products outside of the Company’s primary focus of providing bandwidth infrastructure and NetNeutral colocation services.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
In connection with certain business combinations,,,,zayo
the Company acquired assets that supported products outside of the Company’s primary focus of providing bandwidth infrastructure and NetNeutral colocation services.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
In connection with certain business combinations,,,,zayo
the Company acquired assets that supported products outside of the Company’s primary focus of providing bandwidth infrastructure and NetNeutral colocation services.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
In connection with certain business combinations,,,,zayo
the Company acquired assets that supported products outside of the Company’s primary focus of providing bandwidth infrastructure and NetNeutral colocation services.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
In connection with certain business combinations,,,,zayo
the Company acquired assets that supported products outside of the Company’s primary focus of providing bandwidth infrastructure and NetNeutral colocation services.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
In connection with certain business combinations,,,,zayo
the Company acquired assets that supported products outside of the Company’s primary focus of providing bandwidth infrastructure and NetNeutral colocation services.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
FASB ASC 820,,,,zayo
10 utilizes a fair value hierarchy that prioritizes inputs to fair value measurement techniques into three broad levels: Level 1: Observable inputs such as quoted prices for identical assets or liabilities in active markets.,,,,zayo
