innovation,news,network neutral,net neutral,pay prioritization,throttle traffic,open internet,block traffic,tech company,support net neutral,practice net neutral,support network neutral,practice network neutral,be net neutral,be network neutral,net neutral violation,network neutral violation,violate net neutrality,violate network neutrality,against net neutrality,against network neutrality,URL,NN
1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://bryanalexander.org/politics/internet2-on-net-neutrality/,
2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.internet2.edu/news/detail/2113/,
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.internet2.edu/news/detail/2302/,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.bloomsburycollections.com/book/net-neutrality-towards-a-co-regulatory-solution/index,
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eureporter.co/internet-2/net-neutrality-internet-2/,
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://sunesysllc.wordpress.com/2015/03/24/telehealth-net-neutrality-and-a-new-internet/,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.slideshare.net/eddodds/nren-strategies-for-dataintensive-science-in-a-carbon-constrained-world,
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://twitter.com/mrcjdawson/status/469586967823659009,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.cscjournals.org/download/issuearchive/IJE/Volume3/IJE_V3_I6.pdf,
